term,estimate,std.error,statistic,p.value
(Intercept),0.7648879662171526,0.06723963064198278,11.37555276425887,8.637248972623809e-30
log(mau_previous_month),0.9413345727644411,0.0024211247618550757,388.8005226311372,0
Country_Folk,-0.6547809133637222,0.30941246373941106,-2.1162072964041374,0.0343532096568394
Dance_House,-0.3405172822310408,0.09440339805919627,-3.607044759315943,3.112992436216018e-4
Punk,-0.304345748561163,0.15503633469001601,-1.9630607829427882,0.04966834541074949
Rock,-0.45406640060840364,0.22385942815071902,-2.0283550456614763,0.04255196453142791
Alternative:Cool,1.0531506058969642,0.4993409956524121,2.1090809988892945,0.03496378044171123
Classical:Serious,0.9412249470513104,0.3100928583809336,3.0353003031597154,0.0024094905747150527
Country_Folk:Easygoing,1.5235398935644515,0.6283626768016823,2.424618695240068,0.015343066141712058
Country_Folk:Serious,6.82343943711387,0.6401366453178619,10.659348261066462,2.2248089319121018e-26
Electronica:Sensual,-0.7721498113074792,0.3416146966118804,-2.260294474932218,0.023825599316335377
Electronica:Yearning,1.0048414439689182,0.385320937999355,2.6078038976708817,0.009126818829724988
Indie_Rock:Other,1.0865509942665623,0.5115831289333007,2.123899192164769,0.03370442782155166
Indie_Rock:Sensual,-0.9461299687237873,0.4272274711739522,-2.2145813005047983,0.026812542095033646
Other:Rock,-1.157930962124568,0.48876494490279,-2.3690957671992368,0.0178515854618697
